id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
12516,"",REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",BROADSIDE; ILLUS; 4.25 X 11.75,"",MENU PRINTED IN BLACK ON CREAM SILK RIBBON WITH OVERSEWN SIDES; UNPRICED; ILLUSTRATION OF CITY AND COMMERCE SCENES; OUT OF PLACE MENU,1865-0001,,,1865-09-28,Parker House,,Dollars,$,complete,4,422
12517,"",NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,BOOKLET; ILLUS; COL; 6 X 7.5,"",MENU IS IN GERMAN; FOOD SELECTIONS REPRESENT VARIOUS REGIONS OF JOURNALISM IN EUROPE AND AMERICA; WINES ARE IN RED IN THE MARGIN NEXT TO APPROPRIATE COURSE; SCHEDULE OF MUSIC AND SPEAKERS IS LISTED; COVER HAS LIGHT BROWN SKETCH OF A JOURNALIST'S DESK WITH,1892-0112,,,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),,,,under review,2,21
12518,"",COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET,[NEW YORK,NY?]",FOLDER;ILLUS;7.25X11.5;,DAILY;,2 COPIES;WINE LIST;,1901-1527,,,1901-06-03,Columbia Restaurant,,Dollars,$,complete,4,475
12519,"",MRS CLUFF,LUNCH,OTHER (PRIVATE PARTY);,"RED ROOM,BOHEMIAN CLUB",FOLDER;ILLUS;COL;3.5X7.25;,"",MOTHER HOLDING CHILD ON LAP TEASING WITH RATTLE;WINES;,1901-1533,,,1901-06-04,Mrs Cluff,,,,complete,4,15
12520,"",BAILY CATERING CO.THE,LUNCHEON,COMMERCIAL,"MIRROR LAKE PERGOLA,PAN-AMERICAN EXPOSITION",BOOKLET;ILLUS;COL;4.25X3.5;,OTHER (COMPLIMENTARY);,DELICATELY CUT OUT FLOWERS ON SHORTENED FRONT COVER; RIBBON AT LEFT;,1901-1534,,,1901-06-05,Baily Catering Co.The,,,,complete,7,18
12522,"",NORTHERN STEAMSHIP CO.,BREAKFAST,COMMERCIAL,GREAT NORTHERN RY. LINE,BOOKLET;ILLUS;COL;3X3.75;,DAILY;,INDIVIDUAL CLUB BREAKFAST;HANDWRITTEN DATE 1901;PRICES SEEM HIGH FOR THIS DATE;,1901-1536,,,1901-01-01,Northern Steamship Co.,,,,complete,4,12
12523,"",CITIZENS'STEAMBOAT COMPANY,LUNCH,COMMERCIAL,"STEAMER SARATOGA,TROY LINE",BOOKLET;ILLUS;COL;6.25X9;,DAILY;,AU SABLE CHASM ON FRONT COVER;BLUE MOUNTAIN LAKE ON BACK COVER;PRICED WINE LIST;,1901-1537,,,1901-01-01,Citizens'steamboat Company,,Dollars,$,complete,8,246
12524,"",NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,DINNER,COMMERCIAL,"COUNTRY CLUB,GROSSE POINTE,MI",FOLDER;ILLUS;COL;4X7.5;,"",WINES;BUILDING ILLUSTRATED;,1901-1538,,,1901-06-05,National Association Of Manufacturers Of The United States Of America,,,,complete,4,18
12525,"",HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""",FOLDER; ILLUS; COL; 4.5X7;,OTHER (DAILY);,GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;,1900-2136,,,1900-02-25,Hamburg Amerika Linie,,,,complete,4,28
12526,"",UNION HOTEL & RESTAURANT,DINNER,COMMERCIAL,"",BROADSIDE; ILLUS; 5.5X10;,OTHER (DAILY);,"A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;",1900-2139,,,1900-02-26,Union Hotel & Restaurant,,Dollars,$,complete,2,71
12527,"",CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""CAMPANIA""",CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,,,1900-02-26,Cunard Line,,,,complete,2,93
12528,"",CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. "" CAMPANIA""",CARD; ILLUS; COL; 4.5X6.5;,OTHER (DAILY);,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2142,,,1900-02-26,Cunard Line,,Dollars,$,complete,2,87
12529,"",NEW YORK MEDICAL CLUB,DINNER,PROF;,"MANHATTAN HOTEL, NEW YORK, NY",FOLDER; ILLUS; COL; 3X4.5;,"",LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;,1900-2144,,,1900-02-26,New York Medical Club,,,,complete,4,17
12530,"",RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""WESTERNLAND""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,VIOLET SCRIPT PRINTED MENU; MARITIME SCENE ON MENU;,1900-2148,,,1900-02-26,Red Star Line,,,,complete,2,16
12531,"",RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,FRENCH & ENGLISH; VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP OF MENU;,1900-2150,,,1900-02-26,Red Star Line,,,,complete,2,18
12532,"",RED STAR LINE,LUNCH,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,VIOLET SCRIPT PRINTING; DECORATIVE WREATH;,1900-2151,,,1900-02-26,Red Star Line,,,,complete,2,18
12533,"",RED STAR LINE,DINNER,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,"VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;",1900-2152,,,1900-02-26,Red Star Line,,Belgian Francs,BEF,complete,2,55
12534,"",PABST BLUE RIBBON,DINNER,COMMERCIAL,PABST BLUE RIBBON,CARD; ILLUS; COL; 5.25X7.75;,"",LOGO OF PABST BLUE RIBBON;,1900-2381,,,1900-03-11,Pabst Blue Ribbon,,Dollars,$,complete,2,52
12535,"",MAXWELL HOUSE,DINNER,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",BROADSIDE; ILLUS; 5.75X7.5;,"","ILLUS, PICTURE OF HOTEL;",1900-2386,,,1900-03-11,Maxwell House,,,,complete,2,30
12536,"",MAXWELL HOUSE,LUNCHEON,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",BROADSIDE; 4.25X6.0;,"","",1900-2388,,,1900-03-11,Maxwell House,,,,complete,2,23
12537,"",CUNARD LINE,BREAKFAST,COMMERCIAL,R.M.S. ETRURIA,CARD; ILLUS; COL; 4.5X6.5;,"",RED FLAG WITH LION HOLDING GLOBE OF WORLD; PRICED WINE LIST;,1900-2389,,,1900-03-11,Cunard Line,,,,complete,2,90
12538,"",HADDON HALL,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",CARD; 5 X 8;,"",LOGO; NOTE ABOUT PURITY OF WATER;,1900-2598,,,1900-03-27,Haddon Hall,,,,complete,2,53
12539,"",GOULD'S HOTEL CAFE,DAILY MENU,COMMERCIAL,BOSTON; MA,FOLDER; 8.5 X 12;,"",PRICED MENU; PRICED WINE LIST; EXTENSIVE OYSTER AND CLAM MENU;,1900-2611,,,1900-03-29,Gould's Hotel Cafe,,Dollars,$,complete,4,539
12545,"",GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 TO 3;00,COMMERCIAL,"137 E. MADISON ST.,CHICAGO,ILL.",FOLDER; ILL; COL; 4.5 X 10.75;,"",LIST OF VAUDEVILLE ENTERTAINERS FOR THE WEEK;,1900-2618,,,1900-03-30,German Restaurant & Buffet,,Dollars,$,complete,4,113
12546,"",MR. JOHN MORGAN,DINNER TO THE BOARD OF OFFICERS OF THE CATHOLIC CLUB OF THE CITY OF NEW YORK,RELIG;,"CATHOLIC CLUB, BANQUET HALL,NY",FOLDER;COL;7.5X7.5;,COMPLIMENTARY/TESTIMONIAL,WINES;RIBBON AT LEFT;,1901-1547,,,1901-06-06,Mr. John Morgan,,,,complete,4,19
12549,"",OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS VENTURA;,CARD;ILLUS;COL;5.5X7;,DAILY;,CARD;FLAG;,1901-1552,,,1901-06-06,Oceanic Steamship Company,,,,complete,2,35
12550,"",OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS VENTURA;,CARD;ILLUS;COL;5.5X8.5;,DAILY;,CARD;FLAG;,1901-1553,,,1901-06-06,Oceanic Steamship Company,,,,complete,2,42
12551,"",NORDDEUTSCHER LLOYD  BREMEN,SUPPER(?),COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,"CARD, ILLUS; COL; 5.5 X 8;","",MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF ROW BOAT. STEAMER AND ROCKY SHORE; SIMPLER MENU THAN 1901-1554; BACK SET UP FOR USE AS POSTCARD;,1901-1557,,,1901-06-06,Norddeutscher Lloyd  Bremen,,,,complete,2,20
12552,"",RHODE ISLAND MEDICAL SOCIETY,DINNER,PROF;,"PROVIDENCE, RI",CARD; 4.25 X 6.75;,ANNIVERSARY(?);,PLACE HANDWRITTEN BY FEB;,1901-1558,,,1901-06-06,Rhode Island Medical Society,,,,complete,2,18
12553,"",OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,CARD;ILLUS; COL; 5.5 X 8.5;,"",CARD;FLAG;,1901-1560,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,39
12554,"",HOTEL DEL CORONADO,LUNCHEON,COMMERCIAL,"CORONADO BEACH, CA",CARD; 4.5X7.5;,"",MUSIC PROGRAMME LISTED ON MENU;,1900-4113,,,1900-08-21,Hotel Del Coronado,,,,under review,2,58
12555,"",LONG BEACH HOTEL,ANNUAL OUTING OF EDWARD THOMPSON CO.,COMMERCIAL,"LONG BEACH, LI, [NY];",BROADSHEET; 4.5X7.0;,"","",1900-4117,,,1900-08-21,Long Beach Hotel,,,,complete,2,20
12556,"",GRAND HOTEL L'D.,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN",FOLDER; ILLUS; COL; 6.5X9.5;,"","FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO",1900-4126,,,1900-08-21,Grand Hotel L'd.,,Dollars,$,complete,4,152
12557,"",HOTEL VICTORY,DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, OH;",CARD; 4.75X7.25;,"","",1900-4128,,,1900-08-22,Hotel Victory,,,,complete,2,36
12558,"",BRISTOL HOTEL,DINNER,COMMERCIAL,"NAPLES, ITALY",BROADSIDE; ILLUS; 5.5X8.75;,OTHER (DAILY);,FRENCH; TABLE D'HOTE MENU; HANDWRITTEN; SKETCHES OF HOTEL & VIEW OF POSILLIPO;,1900-2154,,,1900-02-26,Bristol Hotel,,,,complete,2,11
12559,,ASSOCIATION OF EMPLOYING BOOKBINDERS,BANQUET,PROF;,"SAVOY HOTEL, NEW YORK, NY",BOOKLET; ILLUS; 5.5X7;,ANNIVERSARY;,FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;,1900-2156,,,1900-02-26,Association Of Employing Bookbinders,,Dollars,$,complete,8,30
12560,"",DELMONICOS,MENU,"","NEW YORK, NY",FOLDER; ILLUS; COL; 4.5X7;,"",FRENCH; LIST OF WINES; ENGRAVED PORTRAIT OF A WOMAN ON COVER; (POSSIBLY A PRIVATE PARTY?);,1900-2157,,,1900-02-26,Delmonicos,,,,complete,4,34
12561,"",R.M.S. OCEANIC,LUNCH,COMMERCIAL,EN ROUTE,CARD; 3.5 X 5;,"",SMALL FLAG AND LOGO;,1900-2165,,,1900-02-27,R.M.S. Oceanic,,,,complete,2,30
12562,"",CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,"",PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-2170,,,1900-02-28,Cunard Line,,,,complete,2,110
12563,,NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,SEMI-ANNUAL DINNER,PROF;,"UNITED STATES HOTEL,BOSTON,MA",FOLDER;ILL;COL;5.5X8.5;,ANNIVERSARY;,PORTRAIT OF PRESIDENT OF ASSOCIATION ON FRONT COVER;TWO ILLUSTRATIONS OF REPORTERS AT WORK;TOASTS;MUSICAL PROGRAM;NAMES;,1900-3264,,,1900-05-12,New England Shorthand Reporter's Association,,,,complete,4,21
12564,"",RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",FOLDER;ILL;COL;7X9.5;,DAILY;,SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;,1900-3265,,,1900-05-13,Rector's,,Dollars,$,complete,6,358
12567,"",STATLER'S,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, [NY];",CARD; ILLUS; 3.25X6.25;,"",ILLUS: WOMAN HOLDING TEACUP AND SAUCER;,1900-3268,,,1900-05-14,Statler's,,,,complete,2,17
12568,"",JOHN WANAMAKER,[LUNCH],COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",BROADSHEET; ILLUS; COL; 4.75X7.75,"","ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3270,,,1900-05-14,John Wanamaker,,Dollars,$,complete,2,72
12569,"",MAXWELL HOUSE,SUPPER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 4.25X6.25,"",ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2397,,,1900-03-12,Maxwell House,,,,complete,2,38
12570,"",MAXWELL HOUSE,DINNER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 5.5X7.5;,"",ILLUSTRATION OF HOTEL AT TOP OF MENU;,1900-2398,,,1900-03-12,Maxwell House,,,,complete,2,31
12571,"","CLYDE STEAMSHIP CO., THE",DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,BROADSHEET; ILLUS; COL; 10X7;,"","INCLUDES PRICED WINE, LIQUOR, ETC. LIST; STEAMSHIP INSIGNIA ON COVER; ON BACK COVER IS A MAP COMPRISING ALL LINES INVOLVED WITH CLYDE;",1900-2400,,,1900-03-12,"Clyde Steamship Co., The",,Dollars,$,complete,3,72
12573,"",MAXWELL HOUSE,BREAKFAST,COMMERCIAL,"NASHVILLE, TN",CARD; ILLUS; 4.25X6.25;,"",ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2404,,,1900-03-13,Maxwell House,,,,under review,4,0
12574,"",OCCIDENTAL & ORIENTAL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,"S.S. ""COPTIC""",BROADSIDE; ILLUS; 5.5X8.5;,"",HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;,1900-2410,,,1900-03-13,Occidental & Oriental Steamship Co.,,,,complete,2,24
12575,"",GRENOBLE HOTEL,SOUPER,COMMERCIAL,NY,BROADSHEET; ILLUS.BORDER; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-2619,,,1900-03-30,Grenoble Hotel,,Dollars,$,complete,2,255
12576,"",U.S. ARMY - SUBSISTENCE DEPT.,LUNCHEON,MIL;,TRANSPORT,BROADSIDE; 4.5 X 7;,"",MENU HANDWRITTEN; SUMMER;,1900-2623,,,1900-03-31,U.S. Army   Subsistence Dept.,,,,complete,2,13
